tcp,udp,tcp_var,udp_var,tcp_std,udp_std,tcp_entropy,udp_entropy,hurst_tcp,hurst_udp,skewness_tcp,kurtosis_tcp,skewness_udp,kurtosis_udp,burst,h2_pkt,h3_pkt,h2_bytes,h3_bytes,utr,utr_std,attack
1843,0,97.01,0,9.8494,0,1.4185,0,0.2667,0.52,0.5174,-0.9558,0,-3,29.3,54119,0,1714905100,0,0,0,0
1844,0,98.04,0,9.9015,0,1.5571,0,0.2667,0.52,0.6171,-0.7192,0,-3,29.3,54633,0,1731685100,0,0,0,0
1845,0,48.45,0,6.9606,0,1.3592,0,0.2667,0.52,-0.4154,-1.8025,0,-3,28.8,55096,0,1746737300,0,0,0,0
1829,0,50.69,0,7.1197,0,1.4185,0,0.2667,0.52,0.0069,-1.9774,0,-3,28.8,55516,0,1760448600,0,0,0,0
1829,0,56.49,0,7.516,0,1.3662,0,0.2667,0.52,0.0001,-1.9831,0,-3,27.3,55921,0,1773668100,0,0,0,0
1857,0,43.41,0,6.5886,0,1.3592,0,0.2667,0.52,-0.8629,-1.2259,0,-3,27.3,56434,0,1790417700,0,0,0,0
1843,0,48.81,0,6.9864,0,0.8979,0,0.2667,0.52,-0.4131,-1.8226,0,-3,30.8,56948,0,1807197700,0,0,0,0
1845,0,96.25,0,9.8107,0,1.5571,0,0.2667,0.52,0.6291,-0.6904,0,-3,30.8,57382,0,1821366000,0,0,0,0
1830,0,55,0,7.4162,0,1.3662,0,0.2667,0.52,0,-1.9821,0,-3,25.3,57804,0,1835107800,0,0,0,0
1830,0,52.2,0,7.225,0,1.4708,0,0.2667,0.52,-0.0111,-1.9728,0,-3,25.3,58236,0,1849145900,0,0,0,0
1828,0,54.96,0,7.4135,0,1.2799,0,0.2452,0.52,-0.002,-1.9853,0,-3,30.9,58751,0,1865925900,0,0,0,0
1843,0,99.81,0,9.9905,0,1.4708,0,0.2452,0.52,0.607,-0.7473,0,-3,30.9,59255,0,1882379500,0,0,0,0
1844,0,53.04,0,7.2829,0,1.3322,0,0.2452,0.52,-0.4062,-1.8163,0,-3,27,59674,0,1896060300,0,0,0,0
1845,0,96.25,0,9.8107,0,1.5571,0,0.2452,0.52,0.6291,-0.6904,0,-3,27,60095,0,1909802100,0,0,0,0
1830,0,52,0,7.2111,0,1.1935,0,0.2452,0.52,0,-1.9867,0,-3,0,60550,0,1924658200,0,0,0,0
1829,0,53.49,0,7.3137,0,1.2799,0,0.2452,0.52,-0.0022,-1.9844,0,-3,29.1,61064,0,1941438200,0,0,0,0
1828,0,52.16,0,7.2222,0,1.5048,0,0.2452,0.52,0.0045,-1.9753,0,-3,29,61542,0,1957043100,0,0,0,0
1829,0,56.49,0,7.516,0,1.3662,0,0.2452,0.52,0.0001,-1.9831,0,-3,29,61960,0,1970689000,0,0,0,0
1829,0,56.49,0,7.516,0,1.3662,0,0.2452,0.52,0.0001,-1.9831,0,-3,26.7,62378,0,1984335100,0,0,0,0
1843,0,54.81,0,7.4034,0,1.2799,0,0.2452,0.52,-0.4048,-1.8203,0,-3,26.7,62863,0,2000166300,0,0,0,0
1844,0,53.04,0,7.2829,0,1.3322,0,0.2373,0.52,-0.4062,-1.8163,0,-3,31.4,63377,0,2016946300,0,0,0,0
1831,0,56.49,0,7.516,0,1.3662,0,0.2373,0.52,-0.0001,-1.9831,0,-3,31.4,63841,0,2032028900,0,0,0,0
1843,0,54.81,0,7.4034,0,1.2799,0,0.2373,0.52,-0.4048,-1.8203,0,-3,25,64261,0,2045644700,0,0,0,0
1830,0,52,0,7.2111,0,1.1935,0,0.2373,0.52,0,-1.9867,0,-3,25,64670,0,2058899100,0,0,0,0
1857,0,40.41,0,6.3569,0,0.8979,0,0.2373,0.52,-0.8662,-1.2407,0,-3,30.7,65186,0,2075691600,0,0,0,0
1843,0,51.81,0,7.1979,0,1.2206,0,0.2373,0.52,-0.4091,-1.8173,0,-3,30.7,65701,0,2092459400,0,0,0,0
1834,0,49.64,0,7.0456,0,1.6434,0,0.2373,0.52,-0.0012,-1.9489,0,-3,27.4,66140,0,2106723700,0,0,0,0
1834,0,55.04,0,7.4189,0,1.4185,0,0.2373,0.52,-0.0066,-1.9802,0,-3,27.4,66559,0,2120369800,0,0,0,0
1846,0,52.44,0,7.2415,0,1.3138,0,0.2373,0.52,-0.404,-1.8186,0,-3,28.6,66990,0,2134442400,0,0,0,0
1844,0,50.24,0,7.088,0,1.5048,0,0.2373,0.52,-0.3958,-1.8139,0,-3,28.6,67504,0,2151222300,0,0,0,0
1830,0,55,0,7.4162,0,1.3662,0,0.0228,0.52,0,-1.9821,0,-3,29.5,68008,0,2167676000,0,0,0,0
1845,0,48.45,0,6.9606,0,1.3592,0,0.0228,0.52,-0.4154,-1.8025,0,-3,29.5,68427,0,2181352400,0,0,0,0
1832,0,49.16,0,7.0114,0,1.1935,0,0.0228,0.52,0.0003,-1.987,0,-3,26.3,68847,0,2194998500,0,0,0,0
1846,0,52.44,0,7.2415,0,1.3138,0,0.0228,0.52,-0.404,-1.8186,0,-3,26.3,69306,0,2209950500,0,0,0,0
1831,0,53.49,0,7.3137,0,1.2799,0,0.0228,0.52,0.0022,-1.9844,0,-3,0,69819,0,2226700000,0,0,0,0
1845,0,48.25,0,6.9462,0,0.9433,0,0.0228,0.52,-0.4028,-1.8299,0,-3,31.4,70299,0,2242370300,0,0,0,0
1845,0,93.45,0,9.667,0,1.5048,0,0.0228,0.52,0.5367,-0.9066,0,-3,25.5,70716,0,2255981300,0,0,0,0
1831,0,53.69,0,7.3273,0,1.5571,0,0.0228,0.52,-0.0087,-1.9709,0,-3,25.5,71135,0,2269662200,0,0,0,0
